"","Time_minute","WATER-1","WATER-2","WATER-G","Total_in"
"1",2001-01-12 12:30:00,0,0,0,0
"2",2001-01-12 13:34:00,0.0104307692307692,0,0,0.0104307692307692
"3",2001-01-13 09:37:00,0.0104307692307692,0,0,0.0104307692307692
"4",2001-01-13 12:11:00,0.0104307692307692,0,0,0.0104307692307692
"5",2001-01-15 13:32:00,0.0104307692307692,0,0,0.0104307692307692
"6",2001-01-16 12:34:00,0.0104307692307692,0,0,0.0104307692307692
"7",2001-01-16 12:36:00,0.0104307692307692,0,0,0.0104307692307692
"8",2001-01-16 12:41:00,0.0104307692307692,0,0,0.0104307692307692
"9",2001-01-16 12:49:00,0.0104307692307692,0,0,0.0104307692307692
"10",2001-01-16 13:00:00,0.0104307692307692,0,0,0.0104307692307692
"11",2001-01-16 13:16:00,0.0104307692307692,0,0,0.0104307692307692
"12",2001-01-16 13:30:00,0.0104307692307692,0,0,0.0104307692307692
"13",2001-01-16 13:47:00,0.0104307692307692,0,0,0.0104307692307692
"14",2001-01-16 14:15:00,0.0104307692307692,0,0,0.0104307692307692
"15",2001-01-16 15:02:00,0.0104307692307692,0,0,0.0104307692307692
"16",2001-01-17 10:00:00,0.0104307692307692,0,0,0.0104307692307692
"17",2001-01-17 11:27:00,0.0104307692307692,0,0,0.0104307692307692
"18",2001-01-27 12:16:00,0.0104307692307692,0,0,0.0104307692307692
"19",2001-01-27 12:44:00,0.0104307692307692,0,0,0.0104307692307692
"20",2001-01-27 13:32:00,0.0104307692307692,0,0,0.0104307692307692
"21",2001-01-27 14:18:00,0.0104307692307692,0,0,0.0104307692307692
"22",2001-01-27 14:29:00,0.0104307692307692,0,0,0.0104307692307692
"23",2001-01-27 14:44:00,0.0104307692307692,0,0,0.0104307692307692
"24",2001-01-27 15:17:00,0.0104307692307692,0,0,0.0104307692307692
"25",2001-01-27 16:02:00,0.0104307692307692,0,0,0.0104307692307692
"26",2001-01-27 17:59:00,0.0104307692307692,0,0,0.0104307692307692
"27",2001-01-28 12:50:00,0.0104307692307692,0.012,0,0.0224307692307692
"28",2001-01-28 12:53:00,0.0104307692307692,0.012,0,0.0224307692307693
"29",2001-01-28 12:56:00,0.0104307692307692,0,0,0.0104307692307692
"30",2001-01-28 13:00:00,0.0104307692307692,0,0,0.0104307692307692
"31",2001-01-28 13:03:00,0.0104307692307692,0.012,0,0.0224307692307692
"32",2001-01-28 13:08:00,0.0104307692307692,0,0,0.0104307692307692
"33",2001-01-28 13:13:00,0.0104307692307692,0,0,0.0104307692307692
"34",2001-01-28 13:19:00,0.0104307692307692,0,0,0.0104307692307692
"35",2001-01-28 13:24:00,0.0104307692307692,0,0,0.0104307692307692
"36",2001-01-28 13:30:00,0.0104307692307692,0,0,0.0104307692307692
"37",2001-01-28 13:35:00,0.0104307692307692,0,0,0.0104307692307692
"38",2001-01-28 13:41:00,0.0104307692307692,0,0,0.0104307692307692
"39",2001-01-28 13:48:00,0.0104307692307692,0,0,0.0104307692307692
"40",2001-01-28 13:57:00,0.0104307692307692,0,0,0.0104307692307692
"41",2001-01-28 14:13:00,0.0104307692307692,0,0,0.0104307692307692
"42",2001-01-28 14:21:00,0.0104307692307692,0,0,0.0104307692307692
"43",2001-01-28 14:30:00,0.0104307692307692,0,0,0.0104307692307692
"44",2001-01-28 14:39:00,0.0104307692307692,0,0,0.0104307692307692
"45",2001-01-28 14:46:00,0.0104307692307692,0,0,0.0104307692307692
"46",2001-01-28 14:54:00,0.0104307692307692,0,0,0.0104307692307692
"47",2001-01-28 15:06:00,0.0104307692307692,0,0,0.0104307692307692
"48",2001-01-28 15:23:00,0.0104307692307692,0,0,0.0104307692307692
"49",2001-01-28 15:42:00,0.0104307692307692,0,0,0.0104307692307692
"50",2001-01-28 16:09:00,0.0104307692307692,0,0,0.0104307692307692
"51",2001-01-29 10:08:00,0.0104307692307692,0,0,0.0104307692307692
"52",2001-02-09 09:58:00,0.0104307692307692,0,0,0.0104307692307692
"53",2001-02-09 10:14:00,0.0104307692307692,0,0,0.0104307692307692
"54",2001-02-09 10:37:00,0.0104307692307692,0,0,0.0104307692307692
"55",2001-02-09 11:03:00,0.0104307692307692,0,0,0.0104307692307692
"56",2001-02-09 11:51:00,0.0104307692307692,0,0,0.0104307692307692
"57",2001-02-09 12:51:00,0.0104307692307692,0,0,0.0104307692307692
"58",2001-02-09 13:33:00,0.0104307692307691,0,0,0.0104307692307691
"59",2001-02-09 13:34:00,0.0104307692307692,0,0,0.0104307692307692
"60",2001-02-09 13:37:00,0.0104307692307692,0,0,0.0104307692307692
"61",2001-02-09 13:41:00,0.0104307692307692,0,0,0.0104307692307692
"62",2001-02-09 13:47:00,0.0104307692307692,0.012,0,0.0224307692307693
"63",2001-02-09 13:56:00,0.0104307692307692,0,0,0.0104307692307692
"64",2001-02-09 14:05:00,0.0104307692307691,0,0,0.0104307692307691
"65",2001-02-09 14:16:00,0.0104307692307692,0,0,0.0104307692307692
"66",2001-02-09 14:33:00,0.0104307692307692,0,0,0.0104307692307692
"67",2001-02-09 14:51:00,0.0104307692307692,0,0,0.0104307692307692
"68",2001-02-09 15:27:00,0.0104307692307692,0,0,0.0104307692307692
"69",2001-02-09 16:01:00,0.0104307692307692,0,0,0.0104307692307692
